customer_id,order_id,order_date,amount
CUST_0001,CUST_0001_ORD_001,2023-08-19,124.53
CUST_0001,CUST_0001_ORD_002,2023-10-16,270.35
CUST_0001,CUST_0001_ORD_003,2023-11-24,38.32
CUST_0001,CUST_0001_ORD_004,2024-06-09,121.93
CUST_0001,CUST_0001_ORD_005,2024-06-23,459.52
CUST_0002,CUST_0002_ORD_001,2023-07-14,91.93
CUST_0002,CUST_0002_ORD_002,2023-07-20,82.59
CUST_0002,CUST_0002_ORD_003,2024-06-07,359.86
CUST_0003,CUST_0003_ORD_001,2023-07-13,105.8
CUST_0003,CUST_0003_ORD_002,2023-07-24,95.93
CUST_0003,CUST_0003_ORD_003,2023-08-09,162.12
CUST_0003,CUST_0003_ORD_004,2023-09-22,55.71
CUST_0003,CUST_0003_ORD_005,2023-11-25,89.74
CUST_0004,CUST_0004_ORD_001,2023-08-20,92.0
CUST_0004,CUST_0004_ORD_002,2023-11-16,69.35
CUST_0004,CUST_0004_ORD_003,2024-03-02,107.82
CUST_0004,CUST_0004_ORD_004,2024-03-09,60.48
CUST_0004,CUST_0004_ORD_005,2024-06-07,124.09
CUST_0005,CUST_0005_ORD_001,2023-08-04,73.62
CUST_0005,CUST_0005_ORD_002,2023-12-28,26.89
CUST_0006,CUST_0006_ORD_001,2023-07-22,176.02
CUST_0006,CUST_0006_ORD_002,2023-08-21,61.37
CUST_0006,CUST_0006_ORD_003,2023-09-06,11.64
CUST_0006,CUST_0006_ORD_004,2023-12-27,63.41
CUST_0006,CUST_0006_ORD_005,2024-01-27,57.89
CUST_0006,CUST_0006_ORD_006,2024-01-30,65.65
CUST_0006,CUST_0006_ORD_007,2024-02-28,120.99
CUST_0006,CUST_0006_ORD_008,2024-04-08,98.08
CUST_0006,CUST_0006_ORD_009,2024-04-10,97.86
CUST_0006,CUST_0006_ORD_010,2024-05-18,171.41
CUST_0006,CUST_0006_ORD_011,2024-06-28,50.55
CUST_0007,CUST_0007_ORD_001,2023-07-25,93.95
CUST_0007,CUST_0007_ORD_002,2023-07-29,132.14
CUST_0007,CUST_0007_ORD_003,2024-02-27,275.67
CUST_0007,CUST_0007_ORD_004,2024-05-11,138.73
CUST_0007,CUST_0007_ORD_005,2024-05-20,210.01
CUST_0008,CUST_0008_ORD_001,2023-08-08,229.73
CUST_0008,CUST_0008_ORD_002,2023-11-22,107.55
CUST_0008,CUST_0008_ORD_003,2024-05-24,180.9
CUST_0008,CUST_0008_ORD_004,2024-06-27,57.52
CUST_0009,CUST_0009_ORD_001,2023-07-11,89.58
CUST_0009,CUST_0009_ORD_002,2023-08-10,203.71
CUST_0009,CUST_0009_ORD_003,2024-02-08,63.64
CUST_0010,CUST_0010_ORD_001,2023-07-28,271.89
CUST_0010,CUST_0010_ORD_002,2024-01-26,95.6
CUST_0011,CUST_0011_ORD_001,2023-07-05,44.63
CUST_0011,CUST_0011_ORD_002,2023-08-15,51.18
CUST_0011,CUST_0011_ORD_003,2023-11-19,65.98
CUST_0011,CUST_0011_ORD_004,2023-12-24,124.71
CUST_0011,CUST_0011_ORD_005,2024-05-10,97.54
CUST_0012,CUST_0012_ORD_001,2023-12-15,53.68
CUST_0012,CUST_0012_ORD_002,2024-01-13,50.93
CUST_0013,CUST_0013_ORD_001,2023-11-11,73.9
CUST_0013,CUST_0013_ORD_002,2023-12-16,157.12
CUST_0013,CUST_0013_ORD_003,2023-12-20,45.08
CUST_0014,CUST_0014_ORD_001,2023-10-14,239.96
CUST_0014,CUST_0014_ORD_002,2023-11-03,501.13
CUST_0014,CUST_0014_ORD_003,2023-12-13,160.07
